Trial,trialAudio,Group,Block,TrainingTrialType,target,distractor
71,f_zeenum.mp3,B,training,unfamfam,zeenum.png,cactus.png
72,f_findo.mp3,B,training,unfamfam,findo.png,dumbbell.png
1,n_staper.mp3,A,test,NA,staper.png,mubby.png
2,n_staper.mp3,A,test,NA,staper.png,meeva.png
3,n_staper.mp3,A,test,NA,staper.png,findo.png
4,n_staper.mp3,A,test,NA,staper.png,crambo.png
5,n_zeenum.mp3,A,test,NA,zeenum.png,staper.png
6,n_zeenum.mp3,A,test,NA,zeenum.png,mubby.png
7,n_zeenum.mp3,A,test,NA,zeenum.png,lorter.png
8,n_zeenum.mp3,A,test,NA,zeenum.png,danter.png
9,n_tirpa.mp3,A,test,NA,tirpa.png,staper.png
10,n_tirpa.mp3,A,test,NA,tirpa.png,zeenum.png
11,n_tirpa.mp3,A,test,NA,tirpa.png,zicky.png
12,n_tirpa.mp3,A,test,NA,tirpa.png,lasvit.png
13,n_stimmer.mp3,A,test,NA,stimmer.png,zable.png
14,n_stimmer.mp3,A,test,NA,stimmer.png,findo.png
15,n_stimmer.mp3,A,test,NA,stimmer.png,lasvit.png
16,n_stimmer.mp3,A,test,NA,stimmer.png,zeenum.png
17,n_veelut.mp3,A,test,NA,veelut.png,staper.png
18,n_veelut.mp3,A,test,NA,veelut.png,mubby.png
19,n_veelut.mp3,A,test,NA,veelut.png,zable.png
20,n_veelut.mp3,A,test,NA,veelut.png,kobber.png
21,n_zable.mp3,A,test,NA,zable.png,lorter.png
22,n_zable.mp3,A,test,NA,zable.png,meeva.png
23,n_zable.mp3,A,test,NA,zable.png,findo.png
24,n_zable.mp3,A,test,NA,zable.png,kobber.png
25,n_zicky.mp3,A,test,NA,zicky.png,staper.png
26,n_zicky.mp3,A,test,NA,zicky.png,veelut.png
27,n_zicky.mp3,A,test,NA,zicky.png,danter.png
28,n_zicky.mp3,A,test,NA,zicky.png,crambo.png
29,n_mubby.mp3,A,test,NA,mubby.png,tirpa.png
30,n_mubby.mp3,A,test,NA,mubby.png,stimmer.png
31,n_mubby.mp3,A,test,NA,mubby.png,danter.png
32,n_mubby.mp3,A,test,NA,mubby.png,boga.png
33,n_naysis.mp3,A,test,NA,naysis.png,tirpa.png
34,n_naysis.mp3,A,test,NA,naysis.png,veelut.png
35,n_naysis.mp3,A,test,NA,naysis.png,danter.png
36,n_naysis.mp3,A,test,NA,naysis.png,crambo.png
37,n_stamzee.mp3,A,test,NA,stamzee.png,naysis.png
38,n_stamzee.mp3,A,test,NA,stamzee.png,lorter.png
39,n_stamzee.mp3,A,test,NA,stamzee.png,boga.png
40,n_stamzee.mp3,A,test,NA,stamzee.png,crambo.png
41,n_lorter.mp3,A,test,NA,lorter.png,tirpa.png
42,n_lorter.mp3,A,test,NA,lorter.png,veelut.png
43,n_lorter.mp3,A,test,NA,lorter.png,zicky.png
44,n_lorter.mp3,A,test,NA,lorter.png,boga.png
45,n_meeva.mp3,A,test,NA,meeva.png,stimmer.png
46,n_meeva.mp3,A,test,NA,meeva.png,findo.png
47,n_meeva.mp3,A,test,NA,meeva.png,lasvit.png
48,n_meeva.mp3,A,test,NA,meeva.png,kobber.png
49,n_danter.mp3,A,test,NA,danter.png,veelut.png
50,n_danter.mp3,A,test,NA,danter.png,zable.png
51,n_danter.mp3,A,test,NA,danter.png,stamzee.png
52,n_danter.mp3,A,test,NA,danter.png,meeva.png
53,n_findo.mp3,A,test,NA,findo.png,kobber.png
54,n_findo.mp3,A,test,NA,findo.png,lorter.png
55,n_findo.mp3,A,test,NA,findo.png,mubby.png
56,n_findo.mp3,A,test,NA,findo.png,stamzee.png
57,n_lasvit.mp3,A,test,NA,lasvit.png,zable.png
58,n_lasvit.mp3,A,test,NA,lasvit.png,naysis.png
